                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1981,                0.75155,                0.89028,                0.84321,                0.78031,                 0.9006,                0.57869,                 1.1422,                 1.1109,                0.93406,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.1789,                0.73462,                0.90477,                0.90352,                0.95934,                0.94991,                0.58183,                  1.195,                0.96164,                0.93499,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1785,                0.74361,                0.90489,                0.91354,                0.95599,                0.94791,                0.59759,                 1.1006,                0.84096,                0.92146,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1432,                0.70098,                0.89212,                0.84926,                0.89652,                0.88849,                0.58563,                 1.1031,                0.80068,                0.92892,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1398,                0.68369,                0.88982,                0.90123,                0.96665,                0.96944,                0.59817,                 1.0909,                0.75415,                0.91372,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1087,                0.67117,                0.88749,                0.93773,                0.97531,                0.99149,                0.64111,                 1.0987,                0.68105,                0.91214,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1169,                0.67484,                0.87765,                0.88598,                0.93171,                0.93201,                0.59545,                 1.2261,                0.68182,                0.93891,               0.000755,               0.000755,               0.000755
                     42,                  1.163,                0.69484,                0.88749,                0.91273,                0.93334,                0.92422,                0.55893,                 1.2987,                0.73878,                0.95308,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1268,                0.69975,                0.89079,                0.89715,                0.93789,                 0.9399,                0.62143,                    1.1,                0.77796,                0.91927,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0918,                0.67281,                 0.8867,                0.95334,                0.98864,                0.99199,                0.63923,                 1.0664,                0.66098,                0.91211,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0834,                0.66657,                 0.8812,                0.97974,                0.98032,                 0.9944,                0.64836,                 1.0913,                0.66345,                0.91765,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0966,                0.65403,                 0.8839,                0.94029,                0.98954,                0.99475,                0.62569,                 1.1521,                0.66691,                0.92691,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.071,                0.65555,                0.87234,                0.95742,                0.98594,                0.99479,                0.63361,                 1.1467,                0.67342,                0.92204,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0675,                0.65123,                0.87334,                0.97618,                0.98414,                0.99483,                0.64172,                 1.1376,                0.69179,                0.91893,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0881,                0.65683,                0.86602,                0.97979,                0.97926,                0.99496,                0.64242,                 1.1163,                0.71191,                0.92053,               0.000656,               0.000656,               0.000656
                     50,                 1.0485,                0.64026,                0.87451,                0.95692,                0.91358,                0.94455,                0.61865,                 1.1438,                0.68357,                0.92112,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0895,                0.64441,                0.87637,                0.96316,                0.93371,                 0.9451,                0.64993,                 1.1045,                 0.6456,                0.91603,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1018,                0.64445,                 0.8753,                0.96579,                0.93197,                0.94498,                0.62926,                 1.1192,                0.63596,                0.92369,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0868,                0.64459,                0.86735,                0.98325,                0.91405,                0.94503,                0.64353,                 1.0571,                0.62212,                0.90434,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0181,                0.61831,                0.87082,                0.96183,                0.93174,                0.94522,                0.66317,                 1.0223,                0.63171,                0.89748,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0407,                0.62573,                 0.8775,                 0.9731,                0.94096,                0.94539,                0.64446,                 1.1013,                 0.6045,                0.91552,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0179,                0.61106,                0.86175,                0.97503,                0.94504,                0.94612,                0.64601,                 1.0682,                0.58622,                0.91117,             0.00056938,             0.00056938,             0.00056938
                     57,                0.99425,                0.61911,                0.87577,                0.96028,                0.99276,                0.99496,                0.65774,                 1.0334,                0.58735,                 0.9027,               0.000557,               0.000557,               0.000557
                     58,                 1.0817,                0.61401,                  0.876,                0.96589,                0.99254,                  0.995,                0.65222,                 1.0654,                0.62842,                0.90668,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0325,                0.62324,                0.86839,                0.96383,                      1,                0.99496,                0.59143,                 1.3127,                0.63248,                0.94695,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1161,                0.62699,                0.86882,                0.96599,                      1,                  0.995,                0.63886,                 1.0794,                0.57269,                0.91947,             0.00051988,             0.00051988,             0.00051988
